dataset,filename,delta,cutoff,minedge,auc,num_nodes,train_edges,test_pairs,pos_ratio
delta_1_cutoff_0_minedge_1,SemanticGraph_delta_1_cutoff_0_minedge_1.pkl,1,0,1,0.847530378387965,64719,17892352,10000000,0.002099
delta_1_cutoff_0_minedge_3,SemanticGraph_delta_1_cutoff_0_minedge_3.pkl,1,0,3,0.982119642392848,64719,17892352,10000000,1.56e-05
delta_1_cutoff_25_minedge_1,SemanticGraph_delta_1_cutoff_25_minedge_1.pkl,1,25,1,0.7552577151405053,64716,17892352,10000000,0.0022713
delta_1_cutoff_25_minedge_3,SemanticGraph_delta_1_cutoff_25_minedge_3.pkl,1,25,3,0.0,64716,17892352,10000000,1.87e-05
delta_1_cutoff_5_minedge_1,SemanticGraph_delta_1_cutoff_5_minedge_1.pkl,1,5,1,0.7984501287953268,64716,17892352,10000000,0.002143
delta_1_cutoff_5_minedge_3,SemanticGraph_delta_1_cutoff_5_minedge_3.pkl,1,5,3,0.8997959918396736,64716,17892352,10000000,1.55e-05
delta_3_cutoff_0_minedge_1,SemanticGraph_delta_3_cutoff_0_minedge_1.pkl,3,0,1,0.7604628778301344,64719,7652856,10000000,0.0049548
delta_3_cutoff_0_minedge_3,SemanticGraph_delta_3_cutoff_0_minedge_3.pkl,3,0,3,0.8520304060812163,64719,7652856,10000000,0.0002022
delta_3_cutoff_25_minedge_1,SemanticGraph_delta_3_cutoff_25_minedge_1.pkl,3,25,1,0.7754695156876472,64716,7652856,10000000,0.0075039
delta_3_cutoff_25_minedge_3,SemanticGraph_delta_3_cutoff_25_minedge_3.pkl,3,25,3,0.6927796842578093,64716,7652856,10000000,0.0003051
delta_3_cutoff_5_minedge_1,SemanticGraph_delta_3_cutoff_5_minedge_1.pkl,3,5,1,0.7733441436801024,64716,7652856,10000000,0.0061347
delta_3_cutoff_5_minedge_3,SemanticGraph_delta_3_cutoff_5_minedge_3.pkl,3,5,3,0.8540112737003929,64716,7652856,10000000,0.0002444
delta_5_cutoff_0_minedge_1,SemanticGraph_delta_5_cutoff_0_minedge_1.pkl,5,0,1,0.763129084108827,64719,3342034,10000000,0.0064027
delta_5_cutoff_0_minedge_3,SemanticGraph_delta_5_cutoff_0_minedge_3.pkl,5,0,3,0.791335667833917,64719,3342034,10000000,0.0004004
delta_5_cutoff_25_minedge_1,SemanticGraph_delta_5_cutoff_25_minedge_1.pkl,5,25,1,0.7479874398480965,64706,3342034,10000000,0.0153304
delta_5_cutoff_25_minedge_3,SemanticGraph_delta_5_cutoff_25_minedge_3.pkl,5,25,3,0.8099767702659405,64706,3342034,10000000,0.0011591
delta_5_cutoff_5_minedge_1,SemanticGraph_delta_5_cutoff_5_minedge_1.pkl,5,5,1,0.7329364928023014,64706,3342034,10000000,0.0107654
delta_5_cutoff_5_minedge_3,SemanticGraph_delta_5_cutoff_5_minedge_3.pkl,5,5,3,0.8087027513756879,64706,3342034,10000000,0.0007447
